supraconduction	sypʀɑkɔ̃dyksjɔ̃	supraconduction.ad
supraconductivité	sypʀɑkɔ̃dyktivite	supraconductivité.ad
-able	-abl	-able_ou_-ble_ou_-ible.ad
-ble	-bl	-able_ou_-ble_ou_-ible.ad
-ible	-ibl	-able_ou_-ble_ou_-ible.ad
-ace	-as	-ace.ad
-acé	-ase	-acé_ou_-acée.ad
-acée	-ase	-acé_ou_-acée.ad
-ade	-ad	-ade.ad
-age	-aʒ	-age.ad
-agogie	-agɔʒi	-agogie.ad
-agogue	-agɔg	-agogue.ad
-aie	-ɛ	-aie_ou_-eraie.ad
-eraie	-ʀɛ	-aie_ou_-eraie.ad
-ail	-aj	-ail_2.ad
-ail	-aj	-ail_ou_-aille_1.ad
-aille	-ɑj	-ail_ou_-aille_1.ad
-aille	-ɑj	-aille_1.ad
-ailler	-ɑje	-ailler.ad
-aillon	-ɑjɔ̃	-aillon.ad
-ain	-ɛ̃	-ain_1.ad
-aine	-ɛn	-ain_1.ad
-ain	-ɛ̃	-ain_3.ad
-aine	-ɛn	-ain_3.ad
-ain	-ɛ̃	-ain_ou_-aine_2.ad
-aine	-ɛn	-ain_ou_-aine_2.ad
-aire	-ɛʀ	-aire_ou_-iaire_1.ad
-iaire	-jɛʀ	-aire_ou_-iaire_1.ad
-aire	-ɛʀ	-aire_ou_-iaire_2.ad
-iaire	-jɛʀ	-aire_ou_-iaire_2.ad
-ais	-ɛ	-ais.ad
-aise	-ɛz	-ais.ad
-aison	-ɛzɔ̃	-aison.ad
-al	-al	-al_ou_-ial.ad
-ale	-al	-al_ou_-ial.ad
-ial	-jal	-al_ou_-ial.ad
-iale	-jal	-al_ou_-ial.ad
-algie	-alʒi	-algie.ad
-ament	-amɑ̃	-ament.ad
-an	-ɑ̃	-an.ad
-ane	-an	-an.ad
-ance	-ɑ̃s	-ance.ad
-ane	-an	-ane.ad
-ant	-ɑ̃	-ant_1.ad
-ante	-ɑ̃t	-ant_1.ad
-ant	-ɑ̃	-ant_2.ad
-ante	-ɑ̃t	-ant_2.ad
-ané	-ane	-ané.ad
-anée	-ane	-ané.ad
-archie	-aʀʃi	-archie.ad
-ard	-ɑʀ	-ard.ad
-arde	-aʀd	-ard.ad
-ase	-ɑz	-ase.ad
-asse	-as	-asse.ad
-asser	-ase	-asser.ad
-at	-ɑ	-at_2.ad
-at	-ɑ	-at_3.ad
-ate	-at	-at_3.ad
-at	-ɑ	-at_ou_-ariat_ou_-orat_1.ad
-ariat	-aʀjɑ	-at_ou_-ariat_ou_-orat_1.ad
-orat	-ɔʀɑ	-at_ou_-ariat_ou_-orat_1.ad
-ate	-at	-ate.ad
-ateux	-atø	-ateux_ou_-teux.ad
-ateuse	-atøz	-ateux_ou_-teux.ad
-teux	-tø	-ateux_ou_-teux.ad
-teuse	-tøz	-ateux_ou_-teux.ad
-aud	-o	-aud.ad
-aude	-od	-aud.ad
-ayer	-ɛje	-ayer_ou_-eyer.ad
-eyer	-ɛje	-ayer_ou_-eyer.ad
-bénéfice	-benefis	-bénéfice.ad
-carpe	-kaʀp	-carpe.ad
-ceau	-so	-ceau_ou_-celle.ad
-celle	-sɛl	-ceau_ou_-celle.ad
-chef	-ʃɛf	-chef.ad
-choc	-ʃɔk	-choc.ad
-cide	-sid	-cide.ad
-clé	-kle	-clé_ou_-clef.ad
-clef	-kle	-clé_ou_-clef.ad
-cole	-kɔl	-cole.ad
-conseil	-kɔ̃sɛj	-conseil.ad
-coque	-kɔk	-coque.ad
-crate	-kʀat	-crate.ad
-cratie	-kʀasi	-cratie.ad
-culteur	-kyltœʀ	-culteur.ad
-cultrice	-kyltʀis	-culteur.ad
-culture	-kyltyʀ	-culture.ad
-derme	-dɛʀm	-derme.ad
-dermie	-dɛʀmi	-dermie.ad
-doxe	-dɔks	-doxe.ad
-doxie	-dɔksi	-doxie.ad
-drome	-dʀom	-drome.ad
-eau	-o	-eau_ou_-elle_ou_-ereau_ou_-erelle.ad
-elle	-ɛl	-eau_ou_-elle_ou_-ereau_ou_-erelle.ad
-ereau	-əʀo	-eau_ou_-elle_ou_-ereau_ou_-erelle.ad
-erelle	-əʀɛl	-eau_ou_-elle_ou_-ereau_ou_-erelle.ad
-ectomie	-ɛktɔmie	-ectomie_ou_-tomie.ad
-tomie	-tɔmi	-ectomie_ou_-tomie.ad
-el	-ɛl	-el_ou_-iel.ad
-elle	-ɛl	-el_ou_-iel.ad
-iel	-jɛl	-el_ou_-iel.ad
-ielle	-jɛl	-el_ou_-iel.ad
-eler	-əle	-eler.ad
-elet	-əlɛ	-elet_ou_-elette.ad
-elette	-əlɛt	-elet_ou_-elette.ad
-ement	-əmɑ̃	-ement.ad
-ence	-ɑ̃s	-ence.ad
-ent	-ɑ̃	-ent.ad
-ente	-ɑ̃t	-ent.ad
-er	-e	-er_ou_-ier_1.ad
-ier	-je	-er_ou_-ier_1.ad
-erie	-əʀi	-erie.ad
-eron	-əʀɔ̃	-eron_1.ad
-eronne	-əʀɔn	-eron_1.ad
-eron	-əʀɔ̃	-eron_2.ad
-esque	-ɛsk	-esque.ad
-esse	-ɛs	-esse_1.ad
-esse	-ɛs	-esse_2.ad
-et	-ɛ	-et_ou_-ette_ou_-eret_ou_-erette.ad
-ette	-ɛt	-et_ou_-ette_ou_-eret_ou_-erette.ad
-eret	-əʀɛ	-et_ou_-ette_ou_-eret_ou_-erette.ad
-erette	-əʀɛt	-et_ou_-ette_ou_-eret_ou_-erette.ad
-eter	-əte	-eter.ad
-eté	-əte	-eté_ou_-té.ad
-té	-te	-eté_ou_-té.ad
-eur	-œʀ	-eur_1.ad
-eur	-œʀ	-eur_3.ad
-eure	-œʀ	-eur_3.ad
-eur	-œʀ	-eur_ou_-ateur_ou_-iteur_ou_-teur_2.ad
-ateur	-atœʀ	-eur_ou_-ateur_ou_-iteur_ou_-teur_2.ad
-iteur	-itœʀ	-eur_ou_-ateur_ou_-iteur_ou_-teur_2.ad
-teur	-tœʀ	-eur_ou_-ateur_ou_-iteur_ou_-teur_2.ad
-eux	-ø	-eux_2.ad
-euse	-øz	-eux_2.ad
-eux	-ø	-eux_ou_-ieux_ou_-ueux_1.ad
-euse	-øz	-eux_ou_-ieux_ou_-ueux_1.ad
-ieux	-jø	-eux_ou_-ieux_ou_-ueux_1.ad
-ieuse	-jøz	-eux_ou_-ieux_ou_-ueux_1.ad
-ueux	-ɥø	-eux_ou_-ieux_ou_-ueux_1.ad
-ueuse	-ɥøz	-eux_ou_-ieux_ou_-ueux_1.ad
-fier	-fje	-fier_ou_-ifier.ad
-ifier	-ifje	-fier_ou_-ifier.ad
-forme	-fɔʀm	-forme_1.ad
-forme	-fɔʀm	-forme_2.ad
-fuge	-fyʒ	-fuge.ad
-fère	-fɛʀ	-fère.ad
-game	-gam	-game.ad
-gamie	-gami	-gamie.ad
-genèse	-ʒə̠nɛz	-genèse_ou_-génèse.ad
-génèse	-ʒenɛz	-genèse_ou_-génèse.ad
-gone	-gɔn	-gone.ad
-grade	-gʀad	-grade.ad
-gramme	-gʀam	-gramme.ad
-i-	-i-	-i-.ad
-ia	-jɑ	-ia.ad
-iche	-iʃ	-iche.ad
-ichon	-iʃɔ̃	-ichon.ad
-ichonne	-iʃɔn	-ichon.ad
-iciel	-isjɛl	-iciel.ad
-ide	-id	-ide_1.ad
-ide	-id	-ide_ou_-idé_2.ad
-idé	-ide	-ide_ou_-idé_2.ad
-ie	-i	-ie.ad
-ien	-jɛ̃	-ien_ou_-icien.ad
-ienne	-jɛn	-ien_ou_-icien.ad
-icien	-isjɛ̃	-ien_ou_-icien.ad
-icienne	-isjɛn	-ien_ou_-icien.ad
-ier	-je	-ier_ou_-ière_ou_-er_ou_-ère_ou_-etier_ou_-etière_1.ad
-ière	-jɛʀ	-ier_ou_-ière_ou_-er_ou_-ère_ou_-etier_ou_-etière_1.ad
-er	-e	-ier_ou_-ière_ou_-er_ou_-ère_ou_-etier_ou_-etière_1.ad
-ère	-ɛʀ	-ier_ou_-ière_ou_-er_ou_-ère_ou_-etier_ou_-etière_1.ad
-etier	-ətje	-ier_ou_-ière_ou_-er_ou_-ère_ou_-etier_ou_-etière_1.ad
-etière	-ətjɛʀ	-ier_ou_-ière_ou_-er_ou_-ère_ou_-etier_ou_-etière_1.ad
-if	-if	-if_ou_-atif_ou_-itif_ou_-tif.ad
-ive	-iv	-if_ou_-atif_ou_-itif_ou_-tif.ad
-atif	-atif	-if_ou_-atif_ou_-itif_ou_-tif.ad
-ative	-ativ	-if_ou_-atif_ou_-itif_ou_-tif.ad
-itif	-itif	-if_ou_-atif_ou_-itif_ou_-tif.ad
-itive	-itiv	-if_ou_-atif_ou_-itif_ou_-tif.ad
-tif	-tif	-if_ou_-atif_ou_-itif_ou_-tif.ad
-tive	-tiv	-if_ou_-atif_ou_-itif_ou_-tif.ad
